Date,Room Number,Bed Number,Total Beds,Available Beds,Busy Bees
2006-01-01,1,Bed Number 1,54,38,16
2006-01-01,2,Bed Number 2,65,34,31
2006-01-01,3,Bed Number 3,63,39,24
2006-01-02,1,Bed Number 1,77,75,2
2006-01-02,2,Bed Number 2,38,22,16
2006-01-02,3,Bed Number 3,29,28,1
2006-01-03,1,Bed Number 1,49,44,5
2006-01-03,2,Bed Number 2,97,27,70
2006-01-03,3,Bed Number 3,56,15,41
2006-01-04,1,Bed Number 1,34,11,23
2006-01-04,2,Bed Number 2,65,0,65
2006-01-04,3,Bed Number 3,30,22,8
2006-01-05,1,Bed Number 1,45,5,40
2006-01-05,2,Bed Number 2,11,7,4
2006-01-05,3,Bed Number 3,77,29,48
2006-01-06,1,Bed Number 1,72,15,57
2006-01-06,2,Bed Number 2,49,28,21
2006-01-06,3,Bed Number 3,94,36,58
2006-01-07,1,Bed Number 1,50,12,38
2006-01-07,2,Bed Number 2,74,57,17
2006-01-07,3,Bed Number 3,74,36,38
2006-01-08,1,Bed Number 1,86,32,54
2006-01-08,2,Bed Number 2,27,16,11
2006-01-08,3,Bed Number 3,36,8,28
2006-01-09,1,Bed Number 1,70,49,21
2006-01-09,2,Bed Number 2,77,47,30
2006-01-09,3,Bed Number 3,26,26,0
2006-01-10,1,Bed Number 1,66,58,8
2006-01-10,2,Bed Number 2,97,0,97
2006-01-10,3,Bed Number 3,34,11,23
2006-01-11,1,Bed Number 1,77,17,60
2006-01-11,2,Bed Number 2,54,46,8
2006-01-11,3,Bed Number 3,99,68,31
2006-01-12,1,Bed Number 1,33,7,26
2006-01-12,2,Bed Number 2,41,18,23
2006-01-12,3,Bed Number 3,58,41,17
2006-01-13,1,Bed Number 1,56,14,42
2006-01-13,2,Bed Number 2,83,24,59
2006-01-13,3,Bed Number 3,91,14,77
2006-01-14,1,Bed Number 1,31,31,0
2006-01-14,2,Bed Number 2,43,16,27
2006-01-14,3,Bed Number 3,94,59,35
2006-01-15,1,Bed Number 1,28,27,1
2006-01-15,2,Bed Number 2,75,53,22
2006-01-15,3,Bed Number 3,85,47,38
2006-01-16,1,Bed Number 1,86,9,77
2006-01-16,2,Bed Number 2,39,21,18
2006-01-16,3,Bed Number 3,18,9,9
2006-01-17,1,Bed Number 1,96,49,47
2006-01-17,2,Bed Number 2,48,35,13
2006-01-17,3,Bed Number 3,26,13,13
2006-01-18,1,Bed Number 1,20,15,5
2006-01-18,2,Bed Number 2,39,23,16
2006-01-18,3,Bed Number 3,51,1,50
2006-01-19,1,Bed Number 1,85,65,20
2006-01-19,2,Bed Number 2,71,18,53
2006-01-19,3,Bed Number 3,84,51,33
2006-01-20,1,Bed Number 1,15,0,15
2006-01-20,2,Bed Number 2,39,7,32
2006-01-20,3,Bed Number 3,95,53,42
2006-01-21,1,Bed Number 1,66,14,52
2006-01-21,2,Bed Number 2,56,52,4
2006-01-21,3,Bed Number 3,72,58,14
2006-01-22,1,Bed Number 1,32,0,32
2006-01-22,2,Bed Number 2,64,10,54
2006-01-22,3,Bed Number 3,28,24,4
2006-01-23,1,Bed Number 1,71,43,28
2006-01-23,2,Bed Number 2,20,4,16
2006-01-23,3,Bed Number 3,80,42,38
2006-01-24,1,Bed Number 1,82,53,29
2006-01-24,2,Bed Number 2,22,11,11
2006-01-24,3,Bed Number 3,48,12,36
2006-01-25,1,Bed Number 1,32,3,29
2006-01-25,2,Bed Number 2,12,3,9
2006-01-25,3,Bed Number 3,93,44,49
2006-01-26,1,Bed Number 1,87,67,20
2006-01-26,2,Bed Number 2,81,53,28
2006-01-26,3,Bed Number 3,56,10,46
2006-01-27,1,Bed Number 1,33,9,24
2006-01-27,2,Bed Number 2,58,33,25
2006-01-27,3,Bed Number 3,29,19,10
2006-01-28,1,Bed Number 1,26,1,25
2006-01-28,2,Bed Number 2,96,6,90
2006-01-28,3,Bed Number 3,32,2,30
2006-01-29,1,Bed Number 1,95,52,43
2006-01-29,2,Bed Number 2,80,67,13
2006-01-29,3,Bed Number 3,45,7,38
2006-01-30,1,Bed Number 1,86,2,84
2006-01-30,2,Bed Number 2,56,39,17
2006-01-30,3,Bed Number 3,86,27,59
2006-01-31,1,Bed Number 1,40,37,3
2006-01-31,2,Bed Number 2,91,24,67
2006-01-31,3,Bed Number 3,47,18,29
2006-02-01,1,Bed Number 1,54,18,36
2006-02-01,2,Bed Number 2,14,5,9
2006-02-01,3,Bed Number 3,87,54,33
2006-02-02,1,Bed Number 1,84,4,80
2006-02-02,2,Bed Number 2,34,27,7
2006-02-02,3,Bed Number 3,52,31,21
2006-02-03,1,Bed Number 1,42,35,7
2006-02-03,2,Bed Number 2,18,4,14
2006-02-03,3,Bed Number 3,29,16,13
2006-02-04,1,Bed Number 1,15,9,6
2006-02-04,2,Bed Number 2,93,78,15
2006-02-04,3,Bed Number 3,47,42,5
2006-02-05,1,Bed Number 1,23,5,18
2006-02-05,2,Bed Number 2,14,5,9
2006-02-05,3,Bed Number 3,75,6,69
2006-02-06,1,Bed Number 1,51,32,19
2006-02-06,2,Bed Number 2,65,32,33
2006-02-06,3,Bed Number 3,73,62,11
2006-02-07,1,Bed Number 1,92,73,19
2006-02-07,2,Bed Number 2,63,39,24
2006-02-07,3,Bed Number 3,47,12,35
2006-02-08,1,Bed Number 1,53,29,24
2006-02-08,2,Bed Number 2,24,13,11
2006-02-08,3,Bed Number 3,33,2,31
2006-02-09,1,Bed Number 1,48,39,9
2006-02-09,2,Bed Number 2,43,20,23
2006-02-09,3,Bed Number 3,29,26,3
2006-02-10,1,Bed Number 1,46,4,42
2006-02-10,2,Bed Number 2,80,19,61
2006-02-10,3,Bed Number 3,79,55,24
2006-02-11,1,Bed Number 1,41,9,32
2006-02-11,2,Bed Number 2,61,40,21
2006-02-11,3,Bed Number 3,58,3,55
2006-02-12,1,Bed Number 1,29,24,5
2006-02-12,2,Bed Number 2,65,18,47
2006-02-12,3,Bed Number 3,34,15,19
2006-02-13,1,Bed Number 1,24,5,19
2006-02-13,2,Bed Number 2,85,79,6
2006-02-13,3,Bed Number 3,57,44,13
2006-02-14,1,Bed Number 1,43,39,4
2006-02-14,2,Bed Number 2,19,3,16
2006-02-14,3,Bed Number 3,66,3,63
2006-02-15,1,Bed Number 1,71,68,3
2006-02-15,2,Bed Number 2,16,4,12
2006-02-15,3,Bed Number 3,67,51,16
2006-02-16,1,Bed Number 1,28,1,27
2006-02-16,2,Bed Number 2,11,7,4
2006-02-16,3,Bed Number 3,29,15,14
2006-02-17,1,Bed Number 1,26,14,12
2006-02-17,2,Bed Number 2,72,2,70
2006-02-17,3,Bed Number 3,59,30,29
2006-02-18,1,Bed Number 1,59,26,33
2006-02-18,2,Bed Number 2,89,77,12
2006-02-18,3,Bed Number 3,43,5,38
2006-02-19,1,Bed Number 1,70,49,21
2006-02-19,2,Bed Number 2,25,19,6
2006-02-19,3,Bed Number 3,67,46,21
2006-02-20,1,Bed Number 1,47,33,14
2006-02-20,2,Bed Number 2,99,59,40
2006-02-20,3,Bed Number 3,31,25,6
2006-02-21,1,Bed Number 1,10,6,4
2006-02-21,2,Bed Number 2,48,36,12
2006-02-21,3,Bed Number 3,79,51,28
2006-02-22,1,Bed Number 1,69,16,53
2006-02-22,2,Bed Number 2,73,42,31
2006-02-22,3,Bed Number 3,66,22,44
2006-02-23,1,Bed Number 1,61,8,53
2006-02-23,2,Bed Number 2,54,32,22
2006-02-23,3,Bed Number 3,64,56,8
2006-02-24,1,Bed Number 1,31,27,4
2006-02-24,2,Bed Number 2,20,1,19
2006-02-24,3,Bed Number 3,75,22,53
2006-02-25,1,Bed Number 1,50,20,30
2006-02-25,2,Bed Number 2,94,32,62
2006-02-25,3,Bed Number 3,74,19,55
2006-02-26,1,Bed Number 1,59,56,3
2006-02-26,2,Bed Number 2,77,35,42
2006-02-26,3,Bed Number 3,99,65,34
2006-02-27,1,Bed Number 1,55,16,39
2006-02-27,2,Bed Number 2,58,36,22
2006-02-27,3,Bed Number 3,18,16,2
2006-02-28,1,Bed Number 1,24,15,9
2006-02-28,2,Bed Number 2,26,8,18
2006-02-28,3,Bed Number 3,66,24,42
2006-03-01,1,Bed Number 1,22,22,0
2006-03-01,2,Bed Number 2,37,26,11
2006-03-01,3,Bed Number 3,16,12,4
2006-03-02,1,Bed Number 1,33,19,14
2006-03-02,2,Bed Number 2,40,19,21
2006-03-02,3,Bed Number 3,63,9,54
2006-03-03,1,Bed Number 1,54,1,53
2006-03-03,2,Bed Number 2,61,27,34
2006-03-03,3,Bed Number 3,54,41,13
2006-03-04,1,Bed Number 1,39,1,38
2006-03-04,2,Bed Number 2,38,1,37
2006-03-04,3,Bed Number 3,45,35,10
2006-03-05,1,Bed Number 1,67,54,13
2006-03-05,2,Bed Number 2,40,28,12
2006-03-05,3,Bed Number 3,41,33,8
2006-03-06,1,Bed Number 1,69,9,60
2006-03-06,2,Bed Number 2,80,63,17
2006-03-06,3,Bed Number 3,11,2,9
2006-03-07,1,Bed Number 1,14,6,8
2006-03-07,2,Bed Number 2,11,7,4
2006-03-07,3,Bed Number 3,20,7,13
2006-03-08,1,Bed Number 1,96,4,92
2006-03-08,2,Bed Number 2,35,15,20
2006-03-08,3,Bed Number 3,62,8,54
2006-03-09,1,Bed Number 1,97,11,86
2006-03-09,2,Bed Number 2,71,36,35
2006-03-09,3,Bed Number 3,55,46,9
2006-03-10,1,Bed Number 1,91,35,56
2006-03-10,2,Bed Number 2,12,8,4
2006-03-10,3,Bed Number 3,75,33,42
2006-03-11,1,Bed Number 1,10,8,2
2006-03-11,2,Bed Number 2,18,5,13
2006-03-11,3,Bed Number 3,39,30,9
2006-03-12,1,Bed Number 1,17,9,8
2006-03-12,2,Bed Number 2,46,4,42
2006-03-12,3,Bed Number 3,46,38,8
2006-03-13,1,Bed Number 1,47,11,36
2006-03-13,2,Bed Number 2,98,91,7
2006-03-13,3,Bed Number 3,53,49,4
2006-03-14,1,Bed Number 1,52,42,10
2006-03-14,2,Bed Number 2,89,23,66
2006-03-14,3,Bed Number 3,76,59,17
2006-03-15,1,Bed Number 1,11,2,9
2006-03-15,2,Bed Number 2,39,9,30
2006-03-15,3,Bed Number 3,50,26,24
2006-03-16,1,Bed Number 1,50,33,17
2006-03-16,2,Bed Number 2,18,18,0
2006-03-16,3,Bed Number 3,92,54,38
